Logger initialized at 2025-04-14 16:40:46.285229
[2025-04-14 16:41:05] Episode 83: Total Reward = 6.20, Steps = 60
[2025-04-14 16:41:05] Episode 84: Total Reward = -4.80, Steps = 60
[2025-04-14 16:41:05] Episode 85: Total Reward = -1.10, Steps = 60
[2025-04-14 16:41:06] Episode 86: Total Reward = -1.20, Steps = 60
[2025-04-14 16:41:06] Episode 87: Total Reward = 3.10, Steps = 60
[2025-04-14 16:41:06] Episode 88: Total Reward = 2.20, Steps = 60
[2025-04-14 16:41:06] Episode 89: Total Reward = -1.10, Steps = 60
[2025-04-14 16:41:07] Episode 90: Total Reward = 1.10, Steps = 60
[2025-04-14 16:41:07] Episode 91: Total Reward = 3.75, Steps = 60
[2025-04-14 16:41:07] Episode 92: Total Reward = 0.30, Steps = 60
[2025-04-14 16:41:07] Episode 93: Total Reward = 5.85, Steps = 60
[2025-04-14 16:41:08] Episode 94: Total Reward = 5.30, Steps = 60
[2025-04-14 16:41:08] Episode 95: Total Reward = 2.70, Steps = 60
[2025-04-14 16:41:08] Episode 96: Total Reward = 5.10, Steps = 60
[2025-04-14 16:41:08] Episode 97: Total Reward = 0.85, Steps = 60
[2025-04-14 16:41:09] Episode 98: Total Reward = -4.15, Steps = 60
[2025-04-14 16:41:09] Episode 99: Total Reward = 1.10, Steps = 60
[2025-04-14 16:41:09] Episode 100: Total Reward = 0.30, Steps = 60
[2025-04-14 16:41:09] Episode 101: Total Reward = 1.05, Steps = 60
[2025-04-14 16:41:10] Episode 102: Total Reward = -0.75, Steps = 60
[2025-04-14 16:41:10] Episode 103: Total Reward = 0.10, Steps = 60
[2025-04-14 16:41:10] Episode 104: Total Reward = 0.40, Steps = 60
[2025-04-14 16:41:10] Episode 105: Total Reward = 2.80, Steps = 60
[2025-04-14 16:41:11] Episode 106: Total Reward = -5.10, Steps = 60
[2025-04-14 16:41:11] Episode 107: Total Reward = 0.70, Steps = 60
[2025-04-14 16:41:11] Episode 108: Total Reward = -1.75, Steps = 60
[2025-04-14 16:41:11] Episode 109: Total Reward = 3.00, Steps = 60
[2025-04-14 16:41:11] Episode 110: Total Reward = 5.30, Steps = 60
[2025-04-14 16:41:12] Episode 111: Total Reward = 0.05, Steps = 60
[2025-04-14 16:41:12] Episode 112: Total Reward = 4.00, Steps = 60
[2025-04-14 16:41:12] Episode 113: Total Reward = -1.50, Steps = 60
[2025-04-14 16:41:12] Episode 114: Total Reward = 4.55, Steps = 60
[2025-04-14 16:41:13] Episode 115: Total Reward = 3.30, Steps = 60
[2025-04-14 16:41:13] Episode 116: Total Reward = 3.50, Steps = 60
[2025-04-14 16:41:13] Episode 117: Total Reward = -0.40, Steps = 60
[2025-04-14 16:41:13] Episode 118: Total Reward = -0.30, Steps = 60
[2025-04-14 16:41:14] Episode 119: Total Reward = 0.20, Steps = 60
[2025-04-14 16:41:14] Episode 120: Total Reward = -1.40, Steps = 60
[2025-04-14 16:41:14] Episode 121: Total Reward = 5.90, Steps = 60
[2025-04-14 16:41:14] Episode 122: Total Reward = -0.45, Steps = 60
[2025-04-14 16:41:15] Episode 123: Total Reward = 2.80, Steps = 60
[2025-04-14 16:41:15] Episode 124: Total Reward = -1.70, Steps = 60
[2025-04-14 16:41:15] Episode 125: Total Reward = 6.25, Steps = 60
[2025-04-14 16:41:15] Episode 126: Total Reward = 3.40, Steps = 60
[2025-04-14 16:41:16] Episode 127: Total Reward = 2.00, Steps = 60
[2025-04-14 16:41:16] Episode 128: Total Reward = 2.95, Steps = 60
[2025-04-14 16:41:16] Episode 129: Total Reward = -0.25, Steps = 60
[2025-04-14 16:41:16] Episode 130: Total Reward = 7.00, Steps = 60
[2025-04-14 16:41:16] Episode 131: Total Reward = 2.45, Steps = 60
[2025-04-14 16:41:17] Episode 132: Total Reward = -1.00, Steps = 60
[2025-04-14 16:41:17] Episode 133: Total Reward = -2.00, Steps = 60
[2025-04-14 16:41:17] Episode 134: Total Reward = -1.30, Steps = 60
[2025-04-14 16:41:17] Episode 135: Total Reward = 1.05, Steps = 60
[2025-04-14 16:41:18] Episode 136: Total Reward = 4.60, Steps = 60
[2025-04-14 16:41:18] Episode 137: Total Reward = 4.80, Steps = 60
[2025-04-14 16:41:18] Episode 138: Total Reward = -1.30, Steps = 60
[2025-04-14 16:41:18] Episode 139: Total Reward = 7.30, Steps = 60
[2025-04-14 16:41:19] Episode 140: Total Reward = 1.45, Steps = 60
[2025-04-14 16:41:19] Episode 141: Total Reward = 0.60, Steps = 60
[2025-04-14 16:41:19] Episode 142: Total Reward = -1.60, Steps = 60
[2025-04-14 16:41:19] Episode 143: Total Reward = 0.20, Steps = 60
[2025-04-14 16:41:20] Episode 144: Total Reward = 4.30, Steps = 60
[2025-04-14 16:41:20] Episode 145: Total Reward = 4.40, Steps = 60
[2025-04-14 16:41:20] Episode 146: Total Reward = 2.45, Steps = 60
[2025-04-14 16:41:21] Episode 147: Total Reward = 3.90, Steps = 60
[2025-04-14 16:41:21] Episode 148: Total Reward = 5.70, Steps = 60
[2025-04-14 16:41:21] Episode 149: Total Reward = 1.20, Steps = 60
[2025-04-14 16:41:21] Episode 150: Total Reward = 6.30, Steps = 60
[2025-04-14 16:41:22] Episode 151: Total Reward = 3.40, Steps = 60
[2025-04-14 16:41:22] Episode 152: Total Reward = 0.60, Steps = 60
[2025-04-14 16:41:22] Episode 153: Total Reward = -2.70, Steps = 60
[2025-04-14 16:41:22] Episode 154: Total Reward = 4.10, Steps = 60
[2025-04-14 16:41:23] Episode 155: Total Reward = 4.90, Steps = 60
[2025-04-14 16:41:23] Episode 156: Total Reward = 3.65, Steps = 60
[2025-04-14 16:41:23] Episode 157: Total Reward = 1.50, Steps = 60
[2025-04-14 16:41:24] Episode 158: Total Reward = 4.40, Steps = 60
[2025-04-14 16:41:24] Episode 159: Total Reward = 2.35, Steps = 60
[2025-04-14 16:41:24] Episode 160: Total Reward = 0.90, Steps = 60
[2025-04-14 16:41:24] Episode 161: Total Reward = -0.90, Steps = 60
[2025-04-14 16:41:24] Episode 162: Total Reward = 3.10, Steps = 60
[2025-04-14 16:41:25] Episode 163: Total Reward = 6.30, Steps = 60
[2025-04-14 16:41:25] Episode 164: Total Reward = -0.10, Steps = 60
[2025-04-14 16:41:25] Episode 165: Total Reward = 4.05, Steps = 60
[2025-04-14 16:41:26] Episode 166: Total Reward = 3.10, Steps = 60
[2025-04-14 16:41:26] Episode 167: Total Reward = 1.05, Steps = 60
[2025-04-14 16:41:26] Episode 168: Total Reward = 3.60, Steps = 60
[2025-04-14 16:41:26] Episode 169: Total Reward = 6.80, Steps = 60
[2025-04-14 16:41:27] Episode 170: Total Reward = -2.95, Steps = 60
[2025-04-14 16:41:27] Episode 171: Total Reward = 3.25, Steps = 60
[2025-04-14 16:41:27] Episode 172: Total Reward = -0.25, Steps = 60
[2025-04-14 16:41:27] Episode 173: Total Reward = 5.95, Steps = 60
[2025-04-14 16:41:28] Episode 174: Total Reward = 3.60, Steps = 60
[2025-04-14 16:41:28] Episode 175: Total Reward = 1.45, Steps = 60
[2025-04-14 16:41:28] Episode 176: Total Reward = 1.40, Steps = 60
[2025-04-14 16:41:28] Episode 177: Total Reward = -0.65, Steps = 60
[2025-04-14 16:41:29] Episode 178: Total Reward = 3.45, Steps = 60
[2025-04-14 16:41:29] Episode 179: Total Reward = 3.15, Steps = 60
[2025-04-14 16:41:29] Episode 180: Total Reward = -0.70, Steps = 60
[2025-04-14 16:41:29] Episode 181: Total Reward = 0.60, Steps = 60
[2025-04-14 16:41:29] Episode 182: Total Reward = 3.95, Steps = 60
[2025-04-14 16:41:30] Episode 183: Total Reward = 7.45, Steps = 60
[2025-04-14 16:41:30] Episode 184: Total Reward = 7.60, Steps = 60
[2025-04-14 16:41:30] Episode 185: Total Reward = -1.20, Steps = 60
[2025-04-14 16:41:30] Episode 186: Total Reward = 4.70, Steps = 60
[2025-04-14 16:41:31] Episode 187: Total Reward = 3.90, Steps = 60
[2025-04-14 16:41:31] Episode 188: Total Reward = 5.95, Steps = 60
[2025-04-14 16:41:31] Episode 189: Total Reward = 3.50, Steps = 60
[2025-04-14 16:41:31] Episode 190: Total Reward = 1.30, Steps = 60
[2025-04-14 16:41:32] Episode 191: Total Reward = 4.50, Steps = 60
[2025-04-14 16:41:32] Episode 192: Total Reward = 3.70, Steps = 60
